           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40+
W3   4376.40  4376.40  4558.20  4745.70  4806.60  4806.60  5002.20  5002.20  5388.00  5388.00  5789.40  5789.40  5978.70  5978.70  6197.70  6197.70  6422.70  6422.70  6828.30  6828.30  7101.60  7101.60  7265.40  7265.40  7439.10  7439.10  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40  7676.40
W2   3872.10  3872.10  4238.40  4350.90  4428.60  4428.60  4679.40  4679.40  5069.70  5069.70  5263.50  5263.50  5453.70  5453.70  5686.50  5686.50  5868.60  5868.60  6033.30  6033.30  6230.70  6230.70  6360.30  6360.30  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90  6462.90
W1   3398.70  3398.70  3765.00  3863.10  4071.00  4071.00  4316.40  4316.40  4678.80  4678.80  4847.70  4847.70  5084.70  5084.70  5317.20  5317.20  5500.20  5500.20  5668.50  5668.50  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10  5873.10
E9      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  5789.10  5789.10  5920.50  5920.50  6085.80  6085.80  6279.90  6279.90  6477.00  6477.00  6790.50  6790.50  7056.90  7056.90  7336.20  7336.20  7764.30  7764.30  7764.30  7764.30  8151.90  8151.90  8151.90  8151.90  8559.90  8559.90  8559.90  8559.90  8988.90  8988.90  8988.90
E8      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00  4739.10  4739.10  4948.80  4948.80  5078.40  5078.40  5233.80  5233.80  5402.40  5402.40  5706.30  5706.30  5860.50  5860.50  6122.70  6122.70  6268.20  6268.20  6626.10  6626.10  6626.10  6626.10  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00  6759.00
E7   3294.30  3294.30  3595.50  3733.50  3915.30  3915.30  4058.10  4058.10  4302.60  4302.60  4440.60  4440.60  4685.10  4685.10  4888.50  4888.50  5027.40  5027.40  5175.30  5175.30  5232.60  5232.60  5424.90  5424.90  5528.10  5528.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10  5921.10
E6   2849.40  2849.40  3135.60  3274.20  3408.60  3408.60  3548.70  3548.70  3864.30  3864.30  3987.60  3987.60  4225.50  4225.50  4298.40  4298.40  4351.20  4351.20  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30  4413.30
E5   2610.30  2610.30  2786.10  2920.80  3058.50  3058.50  3273.30  3273.30  3497.70  3497.70  3682.20  3682.20  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40  3704.40
E4   2393.40  2393.40  2515.80  2652.00  2786.70  2786.70  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50  2905.50
E3   2160.60  2160.60  2296.50  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70  2435.70
E2   2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70  2054.70
E1   1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30  1833.30
